distrito_limpio,promedio,sobre_80,categoria
LURIGANCHO,97.2,3,🟢 Eficiente Consistente
JESUS MARIA,94.6,3,🟢 Eficiente Consistente
SAN MIGUEL,94.6,3,🟢 Eficiente Consistente
LA VICTORIA,94.5,3,🟢 Eficiente Consistente
LA MOLINA,93.5,3,🟢 Eficiente Consistente
PUEBLO LIBRE,93.4,3,🟢 Eficiente Consistente
LOS OLIVOS,93.0,3,🟢 Eficiente Consistente
SANTIAGO DE SURCO,92.2,3,🟢 Eficiente Consistente
LURIN,91.3,3,🟢 Eficiente Consistente
MAGDALENA DEL MAR,91.2,3,🟢 Eficiente Consistente
SURQUILLO,90.7,3,🟢 Eficiente Consistente
COMAS,90.6,3,🟢 Eficiente Consistente
LINCE,89.9,3,🟢 Eficiente Consistente
ANCON,89.7,3,🟢 Eficiente Consistente
SANTA ANITA,89.5,3,🟢 Eficiente Consistente
INDEPENDENCIA,89.3,3,🟢 Eficiente Consistente
SANTA MARIA DEL MAR,89.3,3,🟢 Eficiente Consistente
SAN BORJA,89.2,3,🟢 Eficiente Consistente
PUENTE PIEDRA,88.7,3,🟢 Eficiente Consistente
SAN JUAN DE MIRAFLORES,88.1,3,🟢 Eficiente Consistente
SAN LUIS,87.8,3,🟢 Eficiente Consistente
CHORRILLOS,87.3,3,🟢 Eficiente Consistente
SAN JUAN DE LURIGANCHO,87.0,2,🟡 En Mejora
SAN MARTIN DE PORRES,86.6,3,🟢 Eficiente Consistente
ATE,85.6,3,🟢 Eficiente Consistente
PUCUSANA,85.5,3,🟢 Eficiente Consistente
BREÑA,84.6,3,🟢 Eficiente Consistente
CARABAYLLO,84.3,3,🟢 Eficiente Consistente
PUNTA NEGRA,84.3,2,🟡 En Mejora
BARRANCO,84.0,2,🟡 En Mejora
RIMAC,83.3,1,🟠 Irregular
CIENEGUILLA,82.7,1,🟠 Irregular
MIRAFLORES,82.3,2,🟡 En Mejora
SANTA ROSA,82.2,3,🟢 Eficiente Consistente
CHACLACAYO,82.2,2,🟡 En Mejora
SAN BARTOLO,82.2,2,🟡 En Mejora
LIMA,81.9,3,🟢 Eficiente Consistente
EL AGUSTINO,80.8,2,🟡 En Mejora
VILLA EL SALVADOR,80.4,2,🟡 En Mejora
SAN ISIDRO,75.4,1,🟠 Irregular
VILLA MARIA DEL TRIUNFO,72.5,1,🟠 Irregular
PUNTA HERMOSA,71.4,1,🟠 Irregular
PACHACAMAC,71.4,0,🔴 Crítico Persistente
