distrito_limpio,PIM,pct_ejecucion,Grupo
LIMA,3206134713,82.1,3
SANTIAGO DE SURCO,418991999,92.8,1
SAN JUAN DE LURIGANCHO,417491363,97.4,1
MIRAFLORES,387456981,93.6,1
SAN ISIDRO,362849464,81.2,2
ATE,302398813,86.6,4
SAN MARTIN DE PORRES,242647349,91.2,1
LA VICTORIA,213531884,94.1,1
VILLA MARIA DEL TRIUNFO,212564737,92.7,1
COMAS,196191759,95.6,1
VILLA EL SALVADOR,186748485,89.1,4
PUENTE PIEDRA,177616126,98.7,1
LA MOLINA,176425529,97.7,1
SAN BORJA,169531391,95.7,1
CHORRILLOS,167564521,85.1,4
SAN JUAN DE MIRAFLORES,158545189,95.7,1
CARABAYLLO,157080351,85.1,4
LOS OLIVOS,156049668,95.6,1
LURIGANCHO,142961478,100,1
SAN MIGUEL,128643590,98.1,1
INDEPENDENCIA,123642736,91.8,1
LURIN,122670864,90,4
JESUS MARIA,111851229,95.7,1
EL AGUSTINO,106752497,86,4
SANTA ANITA,105860524,93.5,1
MAGDALENA DEL MAR,96049122,90.1,4
PACHACAMAC,87825077,76.4,2
RIMAC,79545743,92,1
PUEBLO LIBRE,73186561,94.9,1
SURQUILLO,72783123,92.2,1
CIENEGUILLA,64691315,92.8,1
BARRANCO,64349395,97.3,1
LINCE,62448832,95,1
BREÑA,50894581,92.1,1
SAN LUIS,45286979,94.1,1
ANCON,43182442,88,4
PUNTA HERMOSA,36961682,77.2,2
SANTA ROSA,31238907,85.4,4
CHACLACAYO,27922216,87.3,4
PUCUSANA,20311577,92.1,1
PUNTA NEGRA,14422814,95.2,1
SAN BARTOLO,13720760,88,4
SANTA MARIA DEL MAR,11635424,93.3,1
