Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD METROPOLITANA DE LIMA,1565201206,3206134713,2910718801,2845250999,2831626636,2633767350,2633666383,82.1,2025,82.1,LIMA,572367363
MUNICIPALIDAD METROPOLITANA DE LIMA,1565201206,2814948717,2530432886,2438137582,2398047839,2298876016,2284608229,81.7,2024,81.7,LIMA,516072701
MUNICIPALIDAD METROPOLITANA DE LIMA,2221018233,2728260767,1878567186,1142866040,1037164044,950765556,919877330,34.8,2026,34.8,LIMA,1777495211
MUNICIPALIDAD METROPOLITANA DE LIMA,1252880218,1443207124,1357491896,1249393598,1240070858,1182961106,1181063441,82.0,2023,82.0,LIMA,260246018
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,318597339,446618478,399559140,397787547,396580613,393801322,393800701,88.2,2024,88.2,SAN JUAN DE LURIGANCHO,52817156
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,362837930,440102016,368841385,269067612,230112345,149430802,146930604,34.0,2026,34.0,SAN JUAN DE LURIGANCHO,290671214
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,292078778,428857206,383549108,378455300,377301369,376057479,376057479,87.7,2023,87.7,SANTIAGO DE SURCO,52799727
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,349564446,418991999,399594198,397937331,396396607,388814949,388798331,92.8,2025,92.8,SANTIAGO DE SURCO,30177050
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,320465242,417491363,410496665,409001726,408886024,406494073,406138980,97.4,2025,97.4,SAN JUAN DE LURIGANCHO,10997290
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,372633642,402792452,368882590,360952970,271621186,211522601,210186086,52.5,2026,52.5,SANTIAGO DE SURCO,191269851
MUNICIPALIDAD DISTRITAL DE MIRAFLORES,274718541,387456981,378061190,362617233,362575233,362575233,362478042,93.6,2025,93.6,MIRAFLORES,24881748
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,355299862,385274972,376730831,376233760,374035060,370191081,370159280,96.1,2024,96.1,SANTIAGO DE SURCO,15083891
MUNICIPALIDAD DISTRITAL DE MIRAFLORES,274718541,370719549,352884877,336808806,336792874,336707376,336073205,90.8,2024,90.8,MIRAFLORES,34012173
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,227961966,366439754,298486238,290415508,285728909,275895354,275894041,75.3,2023,75.3,SAN JUAN DE LURIGANCHO,90544400
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO,291531619,362849464,299424564,294941670,294938126,294774370,294773870,81.2,2025,81.2,SAN ISIDRO,68075094
MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,280748811,345283604,304303834,261280976,203084814,138661466,136230187,40.2,2026,40.2,ATE,206622138
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO,288864277,339603985,268334330,247509381,247400175,247227288,247225816,72.8,2024,72.8,SAN ISIDRO,92376697
MUNICIPALIDAD DISTRITAL DE MIRAFLORES,286901451,322956990,249977238,188815005,182896948,141884452,136335052,43.9,2026,43.9,MIRAFLORES,181072538
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO,301152912,321423888,257777742,245146956,186315591,127896667,124510334,39.8,2026,39.8,SAN ISIDRO,193527221
MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,309813604,320409970,305770389,275703854,275489990,275427772,275420143,86.0,2024,86.0,ATE,44982198
MUNICIPALIDAD DISTRITAL DE MIRAFLORES,238936449,305639797,242536459,190911710,190911710,190680190,190632376,62.4,2023,62.4,MIRAFLORES,114959607
MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,248144883,302398813,283693743,264314726,262731647,261887312,261833027,86.6,2025,86.6,ATE,40511501
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO,258426392,288304251,238157948,211585639,211514870,208452689,208452382,72.3,2023,72.3,SAN ISIDRO,79851562
